name,slug,value,date_of_information,ranking,region
"Ireland","ireland","$89,700","2020 est.","5","Europe"
"Bermuda","bermuda","$81,800","2019 est.","8","North America"
"Cayman Islands","cayman-islands","$73,600","2019 est.","9","Central America and the Caribbean"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$70,800","2015 est.","10","South America"
"United Arab Emirates","united-arab-emirates","$67,100","2019 est.","12","Middle East"
"Brunei","brunei","$62,200","2020 est.","14","East and Southeast Asia"
"Gibraltar","gibraltar","$61,700","2014 est.","15","Europe"
"Denmark","denmark","$55,900","2020 est.","20","Europe"
"Guernsey","guernsey","$52,500","2014 est.","23","Europe"
"Austria","austria","$51,900","2020 est.","25","Europe"
"Germany","germany","$50,900","2020 est.","26","Europe"
"Andorra","andorra","$49,900","2015 est.","28","Europe"
"Australia","australia","$48,700","2020 est.","30","Australia and Oceania"
"Belgium","belgium","$48,200","2020 est.","31","Europe"
"Finland","finland","$47,300","2020 est.","32","Europe"
"Canada","canada","$45,900","2020 est.","34","North America"
"France","france","$42,000","2020 est.","38","Europe"
"Greenland","greenland","$41,800","2015 est.","39","North America"
"Bahrain","bahrain","$40,900","2020 est.","42","Middle East"
"Faroe Islands","faroe-islands","$40,000","2014 est.","43","Europe"
"Czechia","czechia","$38,300","2020 est.","46","Europe"
"Cyprus","cyprus","$37,700","2020 est.","48","Europe"
"Aruba","aruba","$37,500","2017 est.","49","Central America and the Caribbean"
"Estonia","estonia","$35,600","2020 est.","54","Europe"
"Guam","guam","$35,600","2016 est.","55","Australia and Oceania"
"Bahamas, The","bahamas-the","$30,800","2020 est.","64","Central America and the Caribbean"
"Greece","greece","$27,300","2020 est.","69","Europe"
"Northern Mariana Islands","northern-mariana-islands","$24,500","2016 est.","78","Australia and Oceania"
"Chile","chile","$23,300","2020 est.","81","South America"
"Bulgaria","bulgaria","$22,400","2020 est.","83","Europe"
"Argentina","argentina","$19,700","2020 est.","86","South America"
"Costa Rica","costa-rica","$19,700","2020 est.","87","Central America and the Caribbean"
"Belarus","belarus","$19,100","2020 est.","90","Europe"
"Antigua and Barbuda","antigua-and-barbuda","$18,000","2020 est.","94","Central America and the Caribbean"
"Dominican Republic","dominican-republic","$17,000","2020 est.","98","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","$17,000","2020 est.","99","Africa"
"French Polynesia","french-polynesia","$17,000","2015 est.","100","Australia and Oceania"
"Cook Islands","cook-islands","$16,700","2016 est.","101","Australia and Oceania"
"China","china","$16,400","2020 est.","102","East and Southeast Asia"
"Botswana","botswana","$16,000","2020 est.","104","Africa"
"Grenada","grenada","$15,100","2020 est.","107","Central America and the Caribbean"
"Gabon","gabon","$14,400","2020 est.","108","Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$14,300","2020 est.","109","Europe"
"Brazil","brazil","$14,100","2020 est.","110","South America"
"Georgia","georgia","$14,100","2020 est.","111","Middle East"
"Azerbaijan","azerbaijan","$13,700","2020 est.","112","Middle East"
"Colombia","colombia","$13,400","2020 est.","114","South America"
"Albania","albania","$13,300","2020 est.","115","Europe"
"Barbados","barbados","$12,900","2020 est.","117","Central America and the Caribbean"
"Armenia","armenia","$12,600","2020 est.","118","Middle East"
"Sri Lanka","sri-lanka","$12,500","2020 est.","119","South Asia"
"Cuba","cuba","$12,300","2016 est.","122","Central America and the Caribbean"
"Anguilla","anguilla","$12,200","2008 est.","126","Central America and the Caribbean"
"Egypt","egypt","$12,000","2020 est.","128","Africa"
"American Samoa","american-samoa","$11,200","2016 est.","134","Australia and Oceania"
"Fiji","fiji","$11,000","2020 est.","135","Australia and Oceania"
"Bhutan","bhutan","$10,900","2020 est.","136","South Asia"
"Algeria","algeria","$10,700","2020 est.","138","Africa"
"Ecuador","ecuador","$10,300","2020 est.","139","South America"
"Dominica","dominica","$9,900","2020 est.","141","Central America and the Caribbean"
"El Salvador","el-salvador","$8,100","2020 est.","150","Central America and the Caribbean"
"Bolivia","bolivia","$7,900","2020 est.","152","South America"
"Angola","angola","$6,200","2020 est.","161","Africa"
"Belize","belize","$6,100","2020 est.","162","Central America and the Caribbean"
"Cabo Verde","cabo-verde","$6,000","2020 est.","165","Africa"
"Djibouti","djibouti","$5,500","2020 est.","167","Africa"
"Ghana","ghana","$5,300","2020 est.","169","Africa"
"Bangladesh","bangladesh","$4,800","2020 est.","175","South Asia"
"Burma","burma","$4,500","2020 est.","178","East and Southeast Asia"
"Cambodia","cambodia","$4,200","2020 est.","180","East and Southeast Asia"
"Cameroon","cameroon","$3,600","2020 est.","189","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","$3,500","2019 est.","190","Australia and Oceania"
"Congo, Republic of the","congo-republic-of-the","$3,400","2020 est.","191","Africa"
"Benin","benin","$3,300","2020 est.","192","Africa"
"Comoros","comoros","$3,100","2020 est.","196","Africa"
"Solomon Islands","solomon-islands","$2,500","2020 est.","203","Australia and Oceania"
"Ethiopia","ethiopia","$2,300","2020 est.","205","Africa"
"Gambia, The","gambia-the","$2,200","2020 est.","209","Africa"
"Afghanistan","afghanistan","$2,000","2020 est.","214","South Asia"
"Eritrea","eritrea","$1,600","2017 est.","217","Africa"
"Chad","chad","$1,500","2020 est.","220","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$1,100","2020 est.","226","Africa"
"Central African Republic","central-african-republic","$900","2020 est.","227","Africa"
"Burundi","burundi","$700","2020 est.","229","Africa"
